filepath,label
data/Diabetic Retinopathy/train/images/IMAGE_01418.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01285.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02211.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00525.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01239.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00196.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00266.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01573.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_02162.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00274.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_02201.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00974.png,2
data/Diabetic Retinopathy/train/images/IMAGE_01221.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01839.jpg,1
data/Diabetic Retinopathy/train/images/IMAGE_00053.jpg,4
data/Diabetic Retinopathy/train/images/IMAGE_02068.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00789.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00338.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00696.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00359.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00634.png,1
data/Diabetic Retinopathy/train/images/IMAGE_01626.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01570.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01826.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_01956.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00794.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00718.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00010.jpg,2
data/Diabetic Retinopathy/train/images/IMAGE_00413.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00332.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00547.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00705.png,0
data/Diabetic Retinopathy/train/images/IMAGE_02137.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_00743.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01503.png,0
data/Diabetic Retinopathy/train/images/IMAGE_01779.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01697.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01159.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00249.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01134.png,0
data/Diabetic Retinopathy/train/images/IMAGE_00597.png,2
data/Diabetic Retinopathy/train/images/IMAGE_00668.png,1
data/Diabetic Retinopathy/train/images/IMAGE_00610.png,4
data/Diabetic Retinopathy/train/images/IMAGE_00901.png,3
data/Diabetic Retinopathy/train/images/IMAGE_02003.jpg,0
data/Diabetic Retinopathy/train/images/IMAGE_01458.png,0
