epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1
1,0.922135,0.307546,0.300019,0.858665,0.289086,0.289063
2,0.752167,0.367787,0.360483,0.635276,0.539823,0.474220
3,0.636470,0.386176,0.386885,0.579945,0.566372,0.480996
4,0.560441,0.386176,0.385730,0.639035,0.463127,0.470289
5,0.497975,0.460368,0.457520,0.595189,0.495575,0.480050
6,0.540725,0.499683,0.500545,0.561223,0.581121,0.544498
7,0.494860,0.455295,0.455505,0.566794,0.519174,0.462000
8,0.490112,0.492708,0.492484,0.536748,0.566372,0.525502
9,0.436618,0.502854,0.503407,0.597546,0.566372,0.435750
10,0.396951,0.528852,0.528569,0.501824,0.654867,0.521339
11,0.367928,0.523779,0.522665,0.536283,0.610619,0.517180
12,0.342290,0.590996,0.588740,0.493653,0.654867,0.549014
13,0.361599,0.524413,0.521741,0.501287,0.646018,0.539314
14,0.334057,0.573240,0.572711,0.558776,0.619469,0.468782
15,0.390632,0.530120,0.528177,0.538467,0.631268,0.538239
